order_id,order_date,category,region,customer_segment,price,quantity,total_value
1,2025-06-06,A,East,retail,21.51,1,21.51
2,2025-05-18,A,North,retail,27.78,1,27.78
3,2025-05-22,C,South,retail,13.24,1,13.24
4,2025-06-19,A,South,retail,33.43,3,100.29
5,2025-04-15,A,North,retail,43.83,2,87.66
6,2025-11-26,B,West,retail,22.13,3,66.39
7,2025-09-09,A,North,retail,36.61,3,109.83
8,2025-06-01,C,North,business,12.49,3,37.47
9,2025-07-24,D,North,business,8.03,1,8.03
10,2025-11-15,A,North,retail,42.1,2,84.2
11,2025-06-09,C,North,retail,11.62,2,23.24
12,2025-08-02,B,South,retail,10.97,3,32.91
13,2025-11-24,A,South,retail,19.71,2,39.42
14,2025-04-14,D,North,business,10.84,3,32.52
15,2025-12-24,D,West,retail,6.82,1,6.82
16,2025-02-20,B,South,business,19.69,5,98.45
17,2025-08-10,C,North,retail,16.07,3,48.21
18,2025-10-08,A,West,retail,32.24,2,64.48
19,2025-02-10,D,West,retail,7.19,2,14.38
20,2025-05-14,A,North,business,29.77,5,148.85
21,2025-10-28,D,North,retail,7.95,2,15.9
22,2025-12-06,A,South,retail,46.56,2,93.12
23,2025-08-22,A,West,retail,31.39,2,62.78
24,2025-11-23,C,South,retail,9.67,2,19.34
25,2025-01-03,A,East,retail,22.49,1,22.49
26,2025-06-17,A,South,retail,31.63,2,63.26
27,2025-05-07,B,North,business,20.38,3,61.14
28,2025-11-08,A,West,retail,40.71,3,122.13
29,2025-07-28,A,West,retail,24.95,3,74.85
30,2025-09-13,A,North,retail,27.36,4,109.44
31,2025-06-07,A,West,retail,38.61,2,77.22
32,2025-03-10,D,East,retail,8.19,4,32.76
33,2025-09-27,A,North,retail,35.41,1,35.41
34,2025-06-07,A,North,retail,29.8,2,59.6
35,2025-11-08,A,West,retail,38.36,1,38.36
36,2025-07-24,A,West,retail,24.33,2,48.66
37,2025-03-09,B,North,business,20.47,4,81.88
38,2025-04-02,B,South,retail,19.38,1,19.38
39,2025-05-17,A,North,retail,21.04,1,21.04
40,2025-04-22,B,North,retail,15.45,3,46.35
41,2025-09-14,B,South,retail,24.58,4,98.32
42,2025-02-04,A,South,business,24.56,7,171.92
43,2025-06-27,B,East,retail,18.06,4,72.24
44,2025-07-16,A,North,retail,38.83,1,38.83
45,2025-02-19,A,West,retail,43.76,2,87.52
46,2025-12-06,A,North,retail,33.76,1,33.76
